"","Ticker","AssetClass","ExpenseRatio","Price","Change1","Change2","SECYield","YTD","Year1","Year5","Year10","Inception"
"1","VCR","Stock - Sector",0.1,140.79,-0.14,-0.1,1.29,10.14,18.24,17.06,9.9,"9.35% (01/26/2004)"
"2","VDC","Stock - Sector",0.1,138.44,-0.39,-0.28,2.46,4.68,2.6,12.8,10.33,"10.27% (01/26/2004)"
"3","VIG","Stock - Large-Cap Blend",0.08,92.39,-0.21,-0.23,1.93,9.62,13.75,12.75,7.41,"7.92% (04/21/2006)"
"4","VWOB","International",0.32,79.42,0.03,0.03,0,4.76,4.51,0,0,"4.70% (05/31/2013)"
"5","VDE","Stock - Sector",0.1,88.06,0.49,0.56,2.69,-14.68,-4.55,0.64,0.65,"6.52% (09/23/2004)"
"6","EDV","Bond - Long-term Government",0.07,114.97,0.45,0.39,0,6.48,-10.37,3.38,0,"8.24% (12/06/2007)"
"7","VXF","Stock - Mid-Cap Blend",0.08,102.15,0.29,0.28,1.33,7.12,21.55,14.36,7.73,"9.49% (12/27/2001)"
"8","VFH","Stock - Sector",0.1,62.9,-0.39,-0.61,1.75,6.77,34.3,17.32,1.94,"3.77% (01/26/2004)"
"9","VEU","International",0.11,50.15,0.18,0.36,0,15.09,20.1,7.54,1.47,"2.72% (03/02/2007)"
"10","VSS","International",0.13,107.67,0.17,0.15,0,15.5,19.61,9,0,"12.24% (04/02/2009)"
"11","VEA","International",0.07,41.28,0.1,0.24,0,14.74,20.23,9.12,0,"1.17% (07/20/2007)"
"12","VWO","International",0.14,41.19,0.29,0.71,0,16.02,18.85,3.32,1.58,"6.52% (03/04/2005)"
"13","VGK","International",0.1,55.24,0.04,0.07,0,17.52,21.75,9.28,1.04,"4.63% (03/04/2005)"
"14","VPL","International",0.1,65.38,0.36,0.55,0,13.59,21.14,8.69,2.21,"4.87% (03/04/2005)"
"15","VNQI","International",0.15,55.7,-0.05,-0.08,0,12.94,8.84,7.77,0,"5.68% (11/01/2010)"
"16","VUG","Stock - Large-Cap Growth",0.06,127.51,0.09,0.07,1.32,15.13,20.19,14.87,8.81,"8.41% (01/26/2004)"
"17","VHT","Stock - Sector",0.1,147.01,0.02,0.01,1.37,16.83,14.7,18.12,11.13,"9.78% (01/26/2004)"
"18","VYM","Stock - Large-Cap Value",0.08,77.95,-0.11,-0.14,3.09,4.49,12.73,13.64,7.08,"7.53% (11/10/2006)"
"19","VIS","Stock - Sector",0.1,129.35,-0.01,0,1.77,9.45,23.09,16.23,7.63,"9.63% (09/23/2004)"
"20","VGT","Stock - Sector",0.1,143.31,0.56,0.39,1.19,18.6,33.28,16.98,10.44,"8.81% (01/26/2004)"
"21","BIV","Bond - Inter-term Investment",0.07,84.2,0.13,0.15,0,2.61,-1.15,2.62,5.6,"5.38% (04/03/2007)"
"22","VCIT","Bond - Inter-term Investment",0.07,87.31,0.12,0.14,0,3.47,1.1,4.04,0,"5.88% (11/19/2009)"
"23","VGIT","Bond - Inter-term Government",0.07,64.51,0.1,0.16,0,1.64,-2.13,1.32,0,"3.02% (11/19/2009)"
"24","VIGI","International",0.25,61.2,0.12,0.2,0,17.28,11.98,0,0,"18.73% (02/25/2016)"
"25","VYMI","International",0.32,62.78,0.14,0.22,0,13.06,20.88,0,0,"22.08% (02/25/2016)"
"26","VV","Stock - Large-Cap Blend",0.06,111.22,-0.08,-0.07,1.93,9.63,18.24,14.58,7.33,"8.22% (01/27/2004)"
"27","BLV","Bond - Long-term Investment",0.07,92.18,0.08,0.09,0,5.38,-1.18,4.15,7.59,"7.23% (04/03/2007)"
"28","VCLT","Bond - Long-term Investment",0.07,92.55,0.04,0.04,0,5.8,2.89,5.37,0,"7.89% (11/19/2009)"
"29","VGLT","Bond - Long-term Government",0.07,75.94,0.16,0.21,0,4.44,-7.11,2.74,0,"6.55% (11/19/2009)"
"30","VAW","Stock - Sector",0.1,123.02,0.04,0.03,1.76,10.38,20.98,11.69,5.95,"9.03% (01/26/2004)"
