Ticker	AssetClass	ExpenseRatio	Price	Change1	Change2	SECYield	YTD	Year1	Year5	Year10	Inception
VCR	Stock - Sector	0.10%	$140.79	-$0.14	-0.10%	1.29%B	10.14%	18.24%	17.06%	9.90%	9.35% (01/26/2004)
VDC	Stock - Sector	0.10%	$138.44	-$0.39	-0.28%	2.46%B	4.68%	2.60%	12.80%	10.33%	10.27% (01/26/2004)
VIG	Stock - Large-Cap Blend	0.08%	$92.39	-$0.21	-0.23%	1.93%B	9.62%	13.75%	12.75%	7.41%	7.92% (04/21/2006)
VWOB	International	0.32%	$79.42	$0.03	0.03%	4.32%A	4.76%	4.51%	—	—	4.70% (05/31/2013)
VDE	Stock - Sector	0.10%	$88.06	$0.49	0.56%	2.69%B	-14.68%	-4.55%	0.64%	0.65%	6.52% (09/23/2004)
EDV	Bond - Long-term Government	0.07%	$114.97	$0.45	0.39%	2.94%A	6.48%	-10.37%	3.38%	—	8.24% (12/06/2007)
VXF	Stock - Mid-Cap Blend	0.08%	$102.15	$0.29	0.28%	1.33%B	7.12%	21.55%	14.36%	7.73%	9.49% (12/27/2001)
VFH	Stock - Sector	0.10%	$62.90	-$0.39	-0.61%	1.75%B	6.77%	34.30%	17.32%	1.94%	3.77% (01/26/2004)
VEU	International	0.11%	$50.15	$0.18	0.36%	—	15.09%	20.10%	7.54%	1.47%	2.72% (03/02/2007)
VSS	International	0.13%	$107.67	$0.17	0.15%	—	15.50%	19.61%	9.00%	—	12.24% (04/02/2009)
VEA	International	0.07%	$41.28	$0.10	0.24%	—	14.74%	20.23%	9.12%	—	1.17% (07/20/2007)
VWO	International	0.14%	$41.19	$0.29	0.71%	—	16.02%	18.85%	3.32%	1.58%	6.52% (03/04/2005)
VGK	International	0.10%	$55.24	$0.04	0.07%	—	17.52%	21.75%	9.28%	1.04%	4.63% (03/04/2005)
VPL	International	0.10%	$65.38	$0.36	0.55%	—	13.59%	21.14%	8.69%	2.21%	4.87% (03/04/2005)
VNQI	International	0.15%	$55.70	-$0.05	-0.08%	—	12.94%	8.84%	7.77%	—	5.68% (11/01/2010)
VUG	Stock - Large-Cap Growth	0.06%	$127.51	$0.09	0.07%	1.32%B	15.13%	20.19%	14.87%	8.81%	8.41% (01/26/2004)
VHT	Stock - Sector	0.10%	$147.01	$0.02	0.01%	1.37%B	16.83%	14.70%	18.12%	11.13%	9.78% (01/26/2004)
VYM	Stock - Large-Cap Value	0.08%	$77.95	-$0.11	-0.14%	3.09%B	4.49%	12.73%	13.64%	7.08%	7.53% (11/10/2006)
VIS	Stock - Sector	0.10%	$129.35	-$0.01	-0.00%	1.77%B	9.45%	23.09%	16.23%	7.63%	9.63% (09/23/2004)
VGT	Stock - Sector	0.10%	$143.31	$0.56	0.39%	1.19%B	18.60%	33.28%	16.98%	10.44%	8.81% (01/26/2004)
BIV	Bond - Inter-term Investment	0.07%	$84.20	$0.13	0.15%	2.55%A	2.61%	-1.15%	2.62%	5.60%	5.38% (04/03/2007)
VCIT	Bond - Inter-term Investment	0.07%	$87.31	$0.12	0.14%	3.17%A	3.47%	1.10%	4.04%	—	5.88% (11/19/2009)
VGIT	Bond - Inter-term Government	0.07%	$64.51	$0.10	0.16%	1.83%A	1.64%	-2.13%	1.32%	—	3.02% (11/19/2009)
VIGI	International	0.25%	$61.20	$0.12	0.20%	—	17.28%	11.98%	—	—	18.73% (02/25/2016)
VYMI	International	0.32%	$62.78	$0.14	0.22%	—	13.06%	20.88%	—	—	22.08% (02/25/2016)
VV	Stock - Large-Cap Blend	0.06%	$111.22	-$0.08	-0.07%	1.93%B	9.63%	18.24%	14.58%	7.33%	8.22% (01/27/2004)
BLV	Bond - Long-term Investment	0.07%	$92.18	$0.08	0.09%	3.65%A	5.38%	-1.18%	4.15%	7.59%	7.23% (04/03/2007)
VCLT	Bond - Long-term Investment	0.07%	$92.55	$0.04	0.04%	4.24%A	5.80%	2.89%	5.37%	—	7.89% (11/19/2009)
VGLT	Bond - Long-term Government	0.07%	$75.94	$0.16	0.21%	2.75%A	4.44%	-7.11%	2.74%	—	6.55% (11/19/2009)
VAW	Stock - Sector	0.10%	$123.02	$0.04	0.03%	1.76%B	10.38%	20.98%	11.69%	5.95%	9.03% (01/26/2004)
MGC	Stock - Large-Cap Blend	0.07%	$83.00	-$0.07	-0.08%	2.00%B	9.74%	18.42%	14.52%	—	7.82% (12/17/2007)
MGK	Stock - Large-Cap Growth	0.07%	$100.48	$0.07	0.07%	1.41%B	16.07%	21.68%	15.14%	—	9.28% (12/17/2007)
MGV	Stock - Large-Cap Value	0.07%	$69.26	-$0.16	-0.23%	2.54%B	4.49%	15.71%	14.10%	—	6.45% (12/17/2007)
